step,count,reward_mean,budget_hit_rate,answer_anywhere_rate,answer_last500_rate,garbled_rate,avg_chars
99,64,0.21875,0.4375,0.3125,0.21875,0,3397.59375
100,64,0.359375,0.25,0.421875,0.359375,0,3022.796875
101,64,0.453125,0.1875,0.59375,0.46875,0,2985.8125
102,64,0.546875,0.21875,0.671875,0.5625,0,3146.609375
103,64,0.375,0.34375,0.5,0.375,0,3177.109375
104,64,0.359375,0.3125,0.53125,0.375,0,3258.125
105,64,0.359375,0.296875,0.46875,0.375,0.015625,3051.984375
106,64,0.4375,0.203125,0.515625,0.4375,0,3049.734375
107,64,0.328125,0.265625,0.390625,0.328125,0,3103.3125
108,64,0.5,0.203125,0.640625,0.5,0,2967.4375
109,64,0.34375,0.5,0.46875,0.34375,0,3295.8125
110,64,0.375,0.203125,0.4375,0.390625,0,3067.703125
111,64,0.359375,0.421875,0.40625,0.359375,0,3269.875
112,64,0.34375,0.390625,0.375,0.34375,0,3201.109375
113,64,0.5,0.359375,0.578125,0.5,0.015625,3153.28125
114,64,0.375,0.3125,0.421875,0.390625,0,3207.765625
115,64,0.203125,0.3125,0.25,0.203125,0,3310.6875
116,64,0.3125,0.3125,0.4375,0.3125,0.03125,3348.625
117,64,0.3125,0.359375,0.453125,0.34375,0,3194.15625
118,64,0.421875,0.390625,0.484375,0.421875,0,3150.171875
119,64,0.3125,0.234375,0.484375,0.3125,0,3173.03125
120,64,0.421875,0.28125,0.578125,0.4375,0,3126.40625
121,64,0.328125,0.265625,0.359375,0.328125,0,3078.765625
122,64,0.546875,0.296875,0.609375,0.546875,0,3070.4375
123,64,0.46875,0.203125,0.515625,0.46875,0,2947.578125
124,64,0.4375,0.375,0.578125,0.453125,0,3101.921875
125,64,0.375,0.25,0.53125,0.390625,0.015625,3049.25
