step,line,chars,budget_hit_chars_ge3500,answer_anywhere,answer_last500,garbled,saved_reward,recomputed_reward
2,56,2485,0,1,1,0,1.0,1.0
2,57,4115,1,0,0,0,0.0,0.0
2,58,3731,1,1,0,0,0.0,0.0
2,59,4006,1,1,1,0,1.0,1.0
2,60,3562,1,0,0,0,0.0,0.0
2,61,2411,0,1,1,0,1.0,1.0
2,62,3058,0,1,0,0,0.0,0.0
2,63,2912,0,1,1,0,1.0,1.0
2,64,2711,0,1,1,0,1.0,1.0
3,1,3532,1,0,0,0,0.0,0.0
3,2,3632,1,0,0,0,0.0,0.0
3,3,3580,1,0,0,0,0.0,0.0
3,4,3325,0,0,0,0,0.0,0.0
3,5,3016,0,0,0,0,0.0,0.0
3,6,2907,0,1,1,0,1.0,1.0
3,7,3131,0,0,0,0,0.0,0.0
3,8,3147,0,0,0,0,0.0,0.0
3,9,2728,0,1,1,0,1.0,1.0
3,10,3125,0,1,1,0,1.0,1.0
3,11,3257,0,1,1,0,1.0,1.0
3,12,2820,0,1,1,0,1.0,1.0
3,13,3328,0,0,0,0,0.0,0.0
3,14,3700,1,0,0,0,0.0,0.0
3,15,3572,1,1,1,0,1.0,1.0
3,16,3658,1,0,0,0,0.0,0.0
3,17,2978,0,1,1,0,1.0,1.0
3,18,3272,0,1,1,0,1.0,1.0
3,19,3017,0,1,0,0,0.0,0.0
3,20,3224,0,1,1,0,1.0,1.0
3,21,2678,0,1,1,0,1.0,1.0
3,22,2723,0,1,0,0,0.0,0.0
3,23,2508,0,1,1,0,1.0,1.0
3,24,2522,0,1,1,0,1.0,1.0
3,25,2850,0,0,0,0,0.0,0.0
3,26,2907,0,0,0,0,0.0,0.0
3,27,2642,0,0,0,0,0.0,0.0
3,28,2596,0,0,0,0,0.0,0.0
3,29,3900,1,1,1,0,1.0,1.0
3,30,4088,1,0,0,0,0.0,0.0
3,31,4116,1,0,0,0,0.0,0.0
3,32,4000,1,0,0,0,0.0,0.0
3,33,2705,0,1,1,0,1.0,1.0
3,34,3158,0,0,0,0,0.0,0.0
3,35,2505,0,1,1,0,1.0,1.0
